clade_name	ERR4623366	ERR4623051	ERR4622866	ERR4623354	ERR4622962	ERR4623508	ERR4623367	ERR4622772	ERR4623425	ERR4623371	ERR4623363	ERR4623062	ERR4622884	ERR4622795	ERR4622950	ERR4622788	ERR4623205	ERR4623393	ERR4623407	ERR4623441	ERR4623506	ERR4623429	ERR4623170	ERR4623300	ERR4623150	ERR4623430	ERR4622949	ERR4622979	ERR4622881	ERR4623364	ERR4622869	ERR4622740	ERR4623269	ERR4623147	ERR4623456	ERR4623385	ERR4623195	ERR4622989	ERR4623511	ERR4622941	ERR4623444	ERR4623176	ERR4623330	ERR4623433	ERR4623507	ERR4623089	ERR4623022	ERR4623437	ERR4623047	ERR4623332	ERR4622750	ERR4623392	ERR4622859	ERR4622746	ERR4622731	ERR4622756	ERR4622801	ERR4623344	ERR4623369	ERR4623213	ERR4623091	ERR4622823	ERR4623164	ERR4623402	ERR4623275	ERR4623251	ERR4623431	ERR4623299	ERR4622956	ERR4622920	ERR4622995	ERR4622825	ERR4623064	ERR4623357	ERR4622767	ERR4623005	ERR4622919	ERR4623146	ERR4623191	ERR4622928	ERR4622877	ERR4623458	ERR4622827	ERR4622899	ERR4623451	ERR4623519	ERR4622763	ERR4622965	ERR4622835	ERR4622952	ERR4623336	ERR4623360	ERR4623050	ERR4623361	ERR4623503	ERR4622961	ERR4623303	ERR4622978	ERR4622757	ERR4622733	ERR4623472	ERR4622783	ERR4622963	ERR4623163	ERR4623086	ERR4622805	ERR4622722	ERR4623462	ERR4622768	ERR4622745	ERR4622863	ERR4623069	ERR4623136
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.26477	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769	0.264769
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_asini	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945	0.272945
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_avium	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593	0.266593
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_casseliflavus	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664	0.273664
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecalis	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913	0.262913
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecium	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791	0.26791
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_gallinarum	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661	0.269661
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_hirae	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907	0.268907
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_pseudoavium	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613	0.274613
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_raffinosus	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.275131	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513	0.27513
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_thailandicus	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875	0.271875
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232	0.261232
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111	0.26111
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_amylovorus	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144	0.27144
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_crispatus	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665	0.268665
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_curvatus	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498	0.269498
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_delbrueckii	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256	0.271256
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_fermentum	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847	0.261847
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_gasseri	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236	0.267236
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_iners	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477	0.272477
